"Name of Researcher","Name of Institution","Name of Project","Type","Year","Reference","Links"
"Fiona Cowden","University of Dundee","Experience and response to a randomised controlled trial of extended-release injectable buprenorphine versus sublingual tablet buprenorphine and oral liquid methadone for opioid use disorder: protocol for a mixed-methods evaluation","Article","2022","Lowry, N., Cowden, F., Day, E., Gilvarry, E., Johnstone, S., Murray, R., Kelleher, M., Mitcheson, L., & Marsden, J. (2022). Experience and response to a randomised controlled trial of extended-release injectable buprenorphine versus sublingual tablet buprenorphine and oral liquid methadone for opioid use disorder: protocol for a mixed-methods evaluation. BMJ open, 12(10), e067194. https://doi.org/10.1136/bmjopen-2022-067194  ","https://bmjopen.bmj.com/content/12/10/e067194.long"
"Fiona Cowden","University of Dundee","Extended-release pharmacotherapy for opioid use disorder (EXPO): protocol for an open-label randomised controlled trial of the effectiveness and cost-effectiveness of injectable buprenorphine versus sublingual tablet buprenorphine and oral liquid methadone","Article","2022","Marsden, J., Kelleher, M., Hoare, Z., Hughes, D., Bisla, J., Cape, A., Cowden, F., Day, E., Dewhurst, J., Evans, R., Hearn, A., Kelly, J., Lowry, N., McCusker, M., Murphy, C., Murray, R., Myton, T., Quarshie, S., Scott, G., & Turner, S. (2022). Extended-release pharmacotherapy for opioid use disorder (EXPO): protocol for an open-label randomised controlled trial of the effectiveness and cost-effectiveness of injectable buprenorphine versus sublingual tablet buprenorphine and oral liquid methadone. Trials, 23(1), 1-19. https://doi.org/10.1186/s13063-022-06595-0  ","https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-022-06595-0"
"John Dillon","University of Dundee","Model projections on the impact of HCV treatment in the prevention of HCV transmission among people who inject drugs in Europe","Article","2017","Fraser, H., Martin, N. K., Brummer-Korvenkontio, H., Carrieri, P., Dalgard, O., Dillon, J., Goldberg, D., Hutchinson, S., Jauffret-Roustide, M., Kåberg, M., Matser, A. A., Matičič, M., Midgard, H., Mravcik, V., Øvrehus, A., Prins, M., Reimer, J., Robaeys, G., Schulte, B., . . . Hickman, M. (2018). Model projections on the impact of HCV treatment in the prevention of HCV transmission among people who inject drugs in Europe. Journal of hepatology, 68(3), 402-411. https://doi.org/10.1016/j.jhep.2017.10.010","https://doi.org/10.1016/j.jhep.2017.10.010"
"John Dillon","University of Dundee","Evaluating the population impact of hepatitis C direct antiviral treatment as prevention for people who inject drugs (EPIToPe)","Research project","2018-2024","https://www.bristol.ac.uk/population-health-sciences/projects/epitope/","https://www.bristol.ac.uk/population-health-sciences/projects/epitope/"
"John Dillon","University of Dundee","Evaluating the population impact of hepatitis C direct acting antiviral treatment as prevention for people who inject drugs (EPIToPe) - a natural experiment (protocol)","Research project","2019","Hickman, M., Dillon, J. F., Elliott, L., De Angelis, D., Vickerman, P., Foster, G., Donnan, P., Eriksen, A., Flowers, P., Goldberg, D., Hollingworth, W., Ijaz, S., Liddell, D., Mandal, S., Martin, N., Beer, L. J. Z., Drysdale, K., Fraser, H., Glass, R., . . . Hutchinson, S. J. (2019). Evaluating the population impact of hepatitis C direct acting antiviral treatment as prevention for people who inject drugs (EPIToPe) - a natural experiment (protocol). BMJ open, 9(9), e029538. https://doi.org/10.1136/bmjopen-2019-029538","https://bmjopen.bmj.com/content/9/9/e029538.long"
"Cassie Higgins","University of Dundee","Comorbid opioid dependence and chronic pain. Clinical implications","PhD","2018 (year completed)","Higgins, C. (2018). Comorbid opioid dependence and chronic pain: Clinical implications. PhD thesis.","https://discovery.dundee.ac.uk/ws/portalfiles/portal/29634094/PhD_thesis_Higgins_.pdf"
"Cassie Higgins","University of Dundee","Substance misuse in patients who have comorbid chronic pain in a clinical population receiving methadone maintenance therapy for the treatment of opioid dependence","Article","2018","Higgins, C., Smith, B. H., & Matthews, K. (2018). Substance misuse in patients who have comorbid chronic pain in a clinical population receiving methadone maintenance therapy for the treatment of opioid dependence. Drug and alcohol dependence, 193, 131-136. https://doi.org/10.1016/j.drugalcdep.2018.08.038","https://doi.org/10.1016/j.drugalcdep.2018.08.038"
"Cassie Higgins","University of Dundee","Evidence of opioid-induced hyperalgesia in clinical populations after chronic opioid exposure: a systematic review and meta-analysis","Article","2019","Higgins, C., Smith, B. H., & Matthews, K. (2019). Evidence of opioid-induced hyperalgesia in clinical populations after chronic opioid exposure: a systematic review and meta-analysis. British Journal of Anaesthesia, 122(6), pp. 114-126.","https://www.sciencedirect.com/science/article/pii/S0007091218307633"
"Cassie Higgins","University of Dundee","Comparison of psychiatric comorbidity in treatment‐seeking, opioid‐dependent patients with versus without chronic pain","Article","2020","Higgins, C., Smith, B. H., & Matthews, K. (2020). Comparison of psychiatric comorbidity in treatment‐seeking, opioid‐dependent patients with versus without chronic pain. Addiction, 115(2), 249-258. https://doi.org/10.1111/add.14768","https://doi.org/10.1111/add.14768"
"Cassie Higgins","University of Dundee","Opioid dependence disorder and comorbid chronic pain: comparison of groups based on patient-attributed direction of the causal relationship between the two conditions","Article","2021","Higgins, C., Smith, B., & Matthews, K. (2021). Opioid dependence disorder and comorbid chronic pain: comparison of groups based on patient-attributed direction of the causal relationship between the two countries. SAGE Journals.","https://abdn.pure.elsevier.com/en/datasets/opioid-dependence-disorder-and-comorbid-chronic-pain-comparison-o"
"Sarah Inglis","University of Dundee","Randomised controlled trial conducted in injecting equipment provision sites to compare the effectiveness of different hepatitis C treatment regimens in people who inject drugs: A Direct obserVed therApy versus fortNightly CollEction study for HCV treatment—ADVANCE HCV protocol study","Article","2019","Inglis, S. K., Beer, L. J., Byrne, C., Malaguti, A., Robinson, E., Sharkey, C., Gillings, K., Stephens, B., & Dillon, J. F. (2019). Randomised controlled trial conducted in injecting equipment provision sites to compare the effectiveness of different hepatitis C treatment regimens in people who inject drugs: A Direct obserVed therApy versus fortNightly CollEction study for HCV treatment-ADVANCE HCV protocol study. BMJ open, 9(8), e029516. https://doi.org/10.1136/bmjopen-2019-029516","https://doi.org/10.1136/bmjopen-2019-029516"
"Louise Marryat","University of Dundee","Health outcomes following childbirth for women who use opioids: an administrative data study","PhD","2023 (year started)","SGSSS Supervisor-led PhD studentship (PI) Health Outcomes following childbirth for women who use opioids: an administrative data study. £95,208.","https://discovery.dundee.ac.uk/en/projects/health-outcomes-following-childbirth-for-women-who-use-opioids-an"
"Louise Marryat","University of Dundee","‘My Data: an animated film, co-produced with people who use drugs’","Research project","2023","Research Data Scotland Public Engagement Fund (2023): ‘My Data: an animated film, co-produced with people who use drugs’. £9997.",NA
"Louise Marryat","University of Dundee","Utilising linked administrative datasets to explore the developmental pathways of children born to women who use opioids in pregnancy","Research project","2021-2024","Economic and Social Research Council New Investigator Grant (PI) 2021-2024. Utilising linked administrative datasets to explore the developmental pathways of children born to women who use opioids in pregnancy. £299,961.","https://discovery.dundee.ac.uk/en/activities/utilising-linked-administrative-datasets-to-explore-the-developme"
"Louise Marryat","University of Dundee","Creation of a virtual cohort of children born to opioid dependent mothers in Scotland","Research project","2021-22","Chief Scientist Office for Scotland (PI) 2021-22. Creation of a virtual cohort of children born to opioid dependent mothers in Scotland. £39,000.","https://discovery.dundee.ac.uk/en/projects/the-development-of-a-virtual-cohort-of-children-born-to-opioid-de"
"Alison Munro","University of Dundee","Understanding the impacts of novel coronavirus outbreaks on people who use drugs: A systematic review to inform practice and drug policy responses to COVID-19","Article","2021","Munro, A., Booth, H., Gray, N.M., Love, J., Mohan, A.R.M., Tang, J., & MacGillivray, S. (2021). Understanding the Impacts of Novel Coronavirus Outbreaks on People Who Use Drugs: A Systematic Review to Inform Practice and Drug Policy Responses to COVID-19. Int J Environ Res Public Health. 2021 Aug 11;18(16):8470. doi: 10.3390/ijerph18168470. PMID: 34444219; PMCID: PMC8394531.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8394531/"
"Elizabeth Speakman","University of Dundee","‘I’m not going to leave someone to die’: carriage of naloxone by police in Scotland within a public health framework: a qualitative study of acceptability and experiences","Article","2023","Speakman, E.M., Hillen, P., Heyman, I., Murray, J., Dougall, N., Aston, E., & McAuley, A. (2023). 'I'm not going to leave someone to die': carriage of naloxone by police in Scotland within a public health framework: a qualitative study of acceptability and experiences. Harm Reduction Journal, 20(20).","https://researchonline.gcu.ac.uk/en/publications/im-not-going-to-leave-someone-to-die-carriage-of-naloxone-by-poli"
"Angus Bancroft","University of Edinburgh","Digital localisation in illicit market space: Interactional creation of a psychedelic assemblage in a darknet community of exchange","Article","2022","Sawicka, M., Rafanell, I., Bancroft, A. (2022). Digital localisation in an illicit market space: Interactional creation of a psychedelic assemblage in a darknet community of exchange. International Journal of drug policy. 100.","https://reader.elsevier.com/reader/sd/pii/S0955395921004321?token=2CB4A07BB64389D785BF19B8EE1EF924ABED2C3441FDCA1C2BC69C93C0D1F3C74EAF12ED80E4B2542B57249A1BC8FB6D&originRegion=eu-west-1&originCreation=20230214123514"
"Angus Bancroft","University of Edinburgh","Negotiating an illicit economy in the time of COVID-19","Article","2022","Bancroft, A., Parkes, T., Galip, I., Matheson, C., Crawshaw, E., Craik, V., Dumbrell, J., & Schofield, S. (2022). Negotiating an illicit economy in the time of COVID-19: Selling and buying dilemmas in the lives of people who use drugs in Scotland. Contemporary Drug Problems, 49(4), pp. 369-384.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9597153/"
"Angus Bancroft","University of Edinburgh","Potential influences of the darknet on illicit drug diffusion","Article","2022","Bancroft, A., (2022). Potential influences of the darknet on illict drug diffusion. Current Addiction Reports, 9, pp.671-676.","https://link.springer.com/article/10.1007/s40429-022-00439-2"
"Amy Chandler","University of Edinburgh","Service user and service provider accounts of managing the risks & realities of Neonatal Abstinence Syndrome","Article","2020","Chandler, A., Whittaker, A., Cunningham-Burley, S., Elliott, L., Midgley, P. and Cooper, S. (2020), Diagnosing uncertainty, producing neonatal abstinence syndrome. Sociol Health Illn, 42: 35-50. https://doi.org/10.1111/1467-9566.13000","https://doi.org/10.1111/1467-9566.13000"
"Amy Chandler","University of Edinburgh","Parents and substance use","Editorial","2019","Radcliffe, P., Chandler, A., Martin, F., & Whittaker, A. (2019). Parents and substance use. International Journal of Drugs Policy. 68. pp, 97-100","https://www.sciencedirect.com/science/article/abs/pii/S0955395919300751?via%3Dihub"
"Lesley Colvin","University of Edinburgh","Characteristics of non-fatal overdoses and associated risk factors in patients attending a specialist community-based substance misuse service","Article","2022","Ghose, R., Cowden, F., Veluchamy, A., Smith, B. H., & Colvin, L. A. (2022). Characteristics of non-fatal overdoses and associated risk factors in patients attending a specialist community-based substance misuse service. British journal of pain, 16(4), 458-466. https://doi.org/10.1177/20494637221095447","https://doi.org/10.1177/20494637221095447"
"David Henshall","University of Edinburgh","A prospective observational study of emergency department presentations following novel psychoactive substance use","Article","2018","Henshall, D., Innes, C.W.D., & Reda, E. (2018). A prospective observational study of emergency department presentations following novel psychoactive substance use. Scottish Medical Journal, 63(2), pp. 39-44.","https://journals.sagepub.com/doi/abs/10.1177/0036933018760761?journalCode=scma"
"Martin Anderson","University of Glasgow","'It’s not 9 to 5 recovery': the role of a recovery community in producing social bonds that support recovery","Article","2021","Anderson, M., Devlin, A.M., Pickering, L., McCann, M., & Wight, D. (2021) 'It’s not 9 to 5 recovery': the role of a recovery community in producing social bonds that support recovery. Drugs: Education, Prevention and Policy, 28(5), pp. 475-485. (doi: 10.1080/09687637.2021.1933911) (PMID:34675456) (PMCID:PMC8522802)","https://eprints.gla.ac.uk/242302/"
"Yuejiao Duan","University of Glasgow","PhD title: Exploring and applying varied economic evaluation methodologies to assist drug policy decision making, with a focus on drug consumption rooms","PhD","June 2021 - July 2024","University of Glasgow - Postgraduate research students - Yuejiao Duan","https://www.gla.ac.uk/pgrs/yuejiaoduan/"
"Sharon Greenwood","University of Glasgow","‘I try hard not to blame my Dad’: A sociological interpretation of the ‘problem’ with parental substance use","PhD","2013-2018","https://theses.gla.ac.uk/30923/","https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Ftheses.gla.ac.uk%2F30923%2F&data=05%7C01%7Ch.c.hale%40stir.ac.uk%7C960896e7c2e9433cf94208db2c47c1c8%7C4e8d09f7cc794ccb9149a4238dd17422%7C0%7C0%7C638152459362997884%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=rRgD03HJfKejkO8L0hYsXzTlw9u4LNXFoWNjEhWESGg%3D&reserved=0"
"Marion Henderson","University of Glasgow","Poly-substance use and sexual risk behaviours: a cross-sectional comparison of adolescents in mainstream and alternative education settings","Article","2019","Henderson, M., Nixon, C., McKee, M. J., Smith, D., Wight, D., & Elliott, L. (2019). Poly-substance use and sexual risk behaviours: a cross-sectional comparison of adolescents in mainstream and alternative education settings. BMC Public Health, 19(1), 564. https://doi.org/10.1186/s12889-019-6892-0  ","https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-019-6892-0"
"Jim Lewsey","University of Glasgow","Evaluating public health interventions using non-randomised study designs: Thrombectomy service and police carriage of naloxone","Research project","2022","University of Glasgow - Schools - School of Health & Wellbeing - Our staff - Professor Jim Lewsey","https://www.gla.ac.uk/schools/healthwellbeing/staff/jimlewsey/"
"Richard Lowrie","University of Glasgow","Baseline characteristics of people experiencing homelessness with a recent drug overdose in the PHOENIx pilot randomised controlled trial","Article","2023","Lowrie, R., McPherson, A., Mair, F.S., Stock, K., Jones, C., Maguire, D., Paudyal, V., et al. (2023). Baseline characteristics of people experiencing homelessness with a recent drug overdose in the PHOENIx pilot randomised controlled trial. Harm Reduction Journal, 20.","https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-023-00771-4"
"Mark McCann","University of Glasgow","Evidence for public health on novel psychoactive substance use: a mixed-methods study","Article","2019","Higgins, K., O'Neill, N., O'Hara, L., Jordan, J.A., McCann, M., O'Neill, T. (2019). Evidence for public health on novel psychoactive substance use: a mixed-methods study. Public Health Research, 7(14).","https://www.journalslibrary.nihr.ac.uk/phr/phr07140"
"Lucy Pickering","University of Glasgow","Novelty and continuity in drug-related practices of people who use new psychoactive substances","Article","2019","Pickering, L., & Greenwood, S. (2019). New for Who?: Novelty and continutiy in drug-related practices of people who use new psychoactive substances. Contemporary Drug Problems, 46(4), 323-344.","https://journals.sagepub.com/doi/10.1177/0091450919885664"
"Lynda Russell","University of Glasgow","Gender, addiction, and removal of children into care","Article","2022","Russell, L., Gajwani, R., Turner, F., & Minnis, H. (2022). Gender, addiction, and removal of children into care. Frontiers in Psychiatry, 13.","https://eprints.gla.ac.uk/269886/"
"Lynda Russell","University of Glasgow","Where are the children?: Addiction workers’ knowledge of clients’ offspring and related risks","Article","2023","Russell, L., Gajwani, R., Turner, F., & Minnis, H. (2023). Where are the children?: Addiction workers' knowledge of clients' offspring and related risks. International Journal on Child Maltreatment.","https://eprints.gla.ac.uk/292535/"
"Kathryn Skivington","University of Glasgow","A systems approach to exploring syndemic health and social condition clustering among individuals who experience a drug related death (DRD): Development work for co-produced interventions(s)","Research project","2020-2023","https://www.cso.scot.nhs.uk/wp-content/uploads/HIPS1932.pdf","https://www.cso.scot.nhs.uk/wp-content/uploads/HIPS1932.pdf"
"Tan Yang","University of Glasgow","The value of routine blood-borne virus testing in the intensive care unit","Article","2022","Tan, Y.Y., & Booth, M.G. (2022). The value of routine blood-borne virus testing in the intensive care unit. Journal of Intensive Care Society, 23(3), pp. 305-310.","https://journals.sagepub.com/doi/pdf/10.1177/17511437211007775"
"Alberto Oteo Perez","University of St Andrews","Overdose alert and response technologies: state-of-the-art review","Article","2023","Oteo, A., Daneshvar, H.,  Baldacchino, A., & Matheson, C. (2023). Overdose alert and response technologies: state-of-the-art review. Journal of Medical Internet Research, 25.","https://risweb.st-andrews.ac.uk/portal/en/researchoutput/overdose-alert-and-response-technologies(e77523c4-a4de-44d1-9f69-666f43e9aa01).html"
"Laura Roe","University of St Andrews","Isolation, solitude and social distancing for people who use drugs: An ethnographic perspective","Article","2021","Roe, L., Proudfoot, J., Tay Wee Teck, J., Irvine, R.D., Frankland, S., & Baldacchino, A. (2021). Isolation, solitude and social distancing for people who use drugs: An ethnographic perspective. Frontiers in Psychiatry, 11.","https://www.frontiersin.org/articles/10.3389/fpsyt.2020.623032/full"
"Laura Roe","University of St Andrews","Fractals for an ethnography of time and addiction: Recursive and self-similar temporalities in heroin and poly-substance use","Article","2023","Roe, L., Dobroski, S., Manley, G., Warner, H., Dritschel, H., & Baldacchino, A. (2023). Fractals for ethnography of time and addiction: Recursive and self-similar temporalities in heroin and poly-substance use. Frontiers in Psychiatry, 14.","https://www.frontiersin.org/articles/10.3389/fpsyt.2023.1116142/full"
"Laura Roe","University of St Andrews","Echoes of endlessness: Time, memory, and experience for heroin users in Scotland","PhD","2015 - 2020","Roe, L. (2021). Echoes of endlessness: time, memory, and experience for heroin users in Scotland. PhD Thesis.","https://research-repository.st-andrews.ac.uk/handle/10023/20384"
"Joseph Tay Wee Teck","University of St Andrews","Substance use disorders among forcibly displaced people: a narrative review","Article","2023","Elkholy, H., Tay Wee Teck, J., Arunogiri, S. et al. Substance Use Disorders Among Forcibly Displaced People: a Narrative Review. Curr Addict Rep (2023). https://doi.org/10.1007/s40429-023-00467-6","https://link.springer.com/article/10.1007/s40429-023-00467-6"
"Joseph Tay Wee Teck","University of St Andrews","Key implementation factors in telemedicine-delivered medications for opioid use disorder: a scoping review informed by normalisation process theory","Article","2022","Tay Wee Teck, J., Zlatkute, G., Perez, A., Dritschel, H., Ghosh, A., Potenza, M.N., et al. (2022). Key Implementation factors in telemedicine-delivered by medications for opioid use disorder: a scoping review informed by normaliation process theory.","https://risweb.st-andrews.ac.uk/portal/en/researchoutput/key-implementation-factors-in-telemedicinedelivered-medications-for-opioid-use-disorder(474685df-5206-47b0-b131-66f6afdaee14).html"
"Hamad Alghaferi","University of Stirling","Does the biopsychosocial-spiritual model of addiction apply in an Islamic context? : a qualitative study of Jordanian addicts in treatment","Article","2017","Al Ghaferi, H., Bond, C., & Matheson, C. (2017) Does the biopsychosocial-spiritual model of addiction apply in an Islamic context? : a qualitative study of Jordanian addicts in treatment Drug and Alcohol Dependence 172: 14-20","https://www.sciencedirect.com/science/article/abs/pii/S0376871616310286?via%3Dihub"
"John Burns","University of Stirling","The recovery capital questionnaire (RCQ): An exploration of the reliability and validity of a measure of addiction recovery capital","Article","2022","Burns, J., & Yates, R. (2022). An examination of the reliability and validity of the recovery capital questionnaire. Drug and Alcohol Dependence. 232.","https://dspace.stir.ac.uk/bitstream/1893/34368/1/1-s2.0-S0376871622000667-main.pdf"
"John Burns","University of Stirling","Monitoring and evaluation framework for ""rights, respect and recovery"" Scotland's drug and alcohol strategy","Report","2020","Burns, J., & Beetson, C. (2020). Monitoring and evaluation framework for Rights, Resepect and Recovery. Edinburgh: NHS Health Scotland","https://www.healthscotland.scot/publications/monitoring-and-evaluation-framework-for-rights-respect-and-recovery"
"Hannah Carver","University of Stirling","The experiences of carers in using shared activities to communicate with looked after young people about alcohol, tobacco and drug use.","Article","2019","Carver, H. (2019) The experiences of carers in using shared activities to communicate with looked after young people about alcohol, tobacco and drug use. Child and Family Social Work 24 (1) 131-138.","https://onlinelibrary.wiley.com/doi/10.1111/cfs.12590"
"Hannah Carver","University of Stirling","How might the ‘Youth in Iceland Model’ for preventing substance use among young people be developed and adapted for use in Dundee, Scotland?","Research project","2019","https://www.stir.ac.uk/media/stirling/services/research/documents/policy-briefings/YiIM-final-briefing.pdf","https://www.stir.ac.uk/media/stirling/services/research/documents/policy-briefings/YiIM-final-briefing.pdf"
"Helen Cheyne","University of Stirling","The stepping stones study","Research project","2021-2024","The Stepping Stones Study - King's College London (kcl.ac.uk)","https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.kcl.ac.uk%2Fresearch%2Fthe-stepping-stones-study&data=05%7C01%7Ch.c.hale%40stir.ac.uk%7Cda91d5e457ea41be1ba708db31c92c2b%7C4e8d09f7cc794ccb9149a4238dd17422%7C0%7C0%7C638158512309894817%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=8sUJJU7%2BRqdkVr46ShfIm3L9tbVI22i8lWe%2F0VtMHyM%3D&reserved=0"
"Catriona Connell","University of Stirling","Understanding mental health and substance use service utilisation by people released from prison: A mixed-methods study","Research project","2022-2024","https://www.stir.ac.uk/research/hub/contract/1731352","https://www.stir.ac.uk/research/hub/contract/1731352"
"Catriona Connell","University of Stirling","Help-seeking for substance use and mental health challenges among justice-involved people in Scottish community contexts: An analysis of the influence of social networks","Research project","2023-2025","https://www.stir.ac.uk/research/hub/contract/1753841","https://www.stir.ac.uk/research/hub/contract/1753841"
"Hadi Daneshvar","University of Stirling","Overdose detection and responder alert technologies: transforming preventative care for those most at risk of drug-related death","Report","2022","Daneshvar, H., Oteo, A., Schofield, J., Parkes, T., Matheson, C., & Baldacchino A. (2022). Mapping of Overdose Detection and Alert Technologies: A Summary. Digital Lifelines Scotland. https://digitallifelines.scot/media/1115/digital-lifelines-odart-mapping-summary.pdf","https://digitallifelines.scot/media/1115/digital-lifelines-odart-mapping-summary.pdf"
"John Player Duncan","University of Stirling","Drug related deaths and de-industrialisation in Scotland: A mixed methods study investigating the narratives of people who use drugs in deindustrialised areas in Scotland","PhD","2020-2028",NA,NA
"Niamh Fitzgerald","University of Stirling","Ambulance call-outs to drug overdoses in Scotland: patterns & practice","Research project","2020-2023","https://drugdeathstaskforce.scot/about-the-taskforce/funding-and-key-projects/","https://drugdeathstaskforce.scot/about-the-taskforce/funding-and-key-projects/"
"Allison Ford","University of Stirling","Compassion or stigma? How people bereaved by alcohol or drugs experience services","Article","2017","Walter, T., Ford, A., Templeton, L., Valentine, C., & Velleman, R. (2017). Compassion or stigma? How adults berevaed by alcohol or drugs experience services. Health and Social Care, 25(6), pp. 1714-1721.","https://researchportal.bath.ac.uk/en/publications/compassion-or-stigma-how-adults-bereaved-by-alcohol-or-drugs-expe"
"Allison Ford","University of Stirling","Service failures and challenges in responding to people bereaved through drugs and alcohol: An interprofessional analysis","Article","2018","Valentine, C., McKell, J., & Ford, A. (2018). Service failures and challenges in responding to people bereaved through drugs and alcohol: An interprofessional analysis. Journal of Interprofessional Care, 32(3), 295-303. https://doi.org/10.1080/13561820.2017.1415312","https://doi.org/10.1080/13561820.2017.1415312"
"Nick Fuller","University of Stirling","Following Ariadne's thread: a qualitative exploration of the relevance of spirituality in experiences of problem substance use and of spiritual engagement in processes of recovery, with particular reference to the experience of men living in Scotland","PhD","2020 (year completed)","https://dspace.stir.ac.uk/handle/1893/31186","https://dspace.stir.ac.uk/handle/1893/31186"
"Andriana Manta","University of Stirling","How do representations of the “drug problem” in Greece produce governable subjects? A WPR-inspired approach","PhD","2016-2023",NA,NA
"Wendy Masterton","University of Stirling","A realist review of how community-based drug checking services could be designed and implemented to promote engagement of people who use drugs","Article","2022","Masterton, W., Falzon, D., Burton, G., Carver, H., Wallace, B., Aston, E. V., Sumnall, H., Measham, F., Gittins, R., Craik, V., Schofield, J., Little, S., & Parkes, T. (2022). A Realist Review of How Community-Based Drug Checking Services Could Be Designed and Implemented to Promote Engagement of People Who Use Drugs. International journal of environmental research and public health, 19(19). https://doi.org/10.3390/ijerph191911960","https://doi.org/10.3390/ijerph191911960"
"Wendy Masterton","University of Stirling","Intervention development and acceptability/feasibility study of a greenspace programme for mental health and problem substance use","Research project","2022","Masterton, W., Parkes, T., Carver, H., Duncan, E., Park, K., Engstrom, S., Gorely, T., Lovell, R., Dumbrell, J., & Cormack, W. (2022). Intervention development and acceptability/feasibility study of a greenspace programme for mental health and problem substance use. Chief Scientist Office (£299,713).",NA
"Wendy Masterton","University of Stirling","Exploring how greenspace programmes might be effective in supporting people with problem substance use: A realist interview study","Article","2022","Masterton, W., Parkes., T., Carver, H and Park, K. Exploring how greenspace programmes might be effective in supporting people with problem substance use: A realist interview study. BMC Public Health. 22, 1661. Available at: doi: 10.1186/s12889-022-14063-2","https://doi.org/10.1186%2Fs12889-022-14063-2"
"Wendy Masterton","University of Stirling","Development of a realist-informed framework for greenspace programmes for people with poor mental health and problem substance use","PhD","2019-2022","STORRE: Development of a realist-informed intervention framework for greenspace programmes for people with poor mental health and problem substance use (stir.ac.uk)","https://dspace.stir.ac.uk/handle/1893/34575"
"Catriona Matheson","University of Stirling","A controlled trial of screening, brief intervention and referral for treatment (SBIRT) implementation in primary care in the United Arab Emirates","Article","2018","Matheson, C., Pflanz-Sinclair, C., Almarzouqi, A., Bond, C. M., Lee, A. J., Batieha, A., Al Ghaferi, H., & El Kashef, A. (2018). A controlled trial of screening, brief intervention and referral for treatment (SBIRT) implementation in primary care in the United Arab Emirates. Primary health care research & development, 19(2), 165-175. https://doi.org/10.1017/S1463423617000640","https://doi.org/10.1017/S1463423617000640"
"Catriona Matheson","University of Stirling","Exploring the health and social care needs of older people with a drug problem","Article","2019","Matheson, C., Hamilton, E., Wallace, J., & Liddell, D. (2019). Exploring the health and social care needs of older people with a drug problem [Article]. Drugs: Education, Prevention & Policy, 26(6), 493-501. https://doi.org/10.1080/09687637.2018.1490390","https://doi.org/10.1080/09687637.2018.1490390"
"Catriona Matheson","University of Stirling","An avoidable crisis","Article","2022","Matheson, C., & Robertson, R. (2022) An Avoidable Crisis.  Harm Reduction Journal 19, 98. https://doi.org/10.1186/s12954-022-00680-y","https://doi.org/10.1186/s12954-022-00680-y"
"Catriona Matheson","University of Stirling","Long-acting depot buprenorphine in people who are homeless: Views and experiences","Article","2022","Matheson, C., Foster, R., Schofield, J., & Browne, T. (2022). Long-acting depot buprenorphine in people who are homeless: views and experiences. JSAT, 139.","https://dspace.stir.ac.uk/handle/1893/34185"
"Catriona Matheson","University of Stirling","Testing blood oxygen monitoring amoung people who use drugs to promote awareness of respiratory and cardiac health","Research project","2020",NA,NA
"Catriona Matheson","University of Stirling","Digital inclusion for the prevention of drug deaths","Research project","2021","Research project | Digital inclusion for the prevention of drug deaths proposal | University of Stirling","https://www.stir.ac.uk/research/hub/contract/1710860"
"Catriona Matheson","University of Stirling","Developing an intervention to manage benzodiazepine dependence and high-risk use in the context of escalating drug-related deaths: A feasibility study","Research project","2021-2023",NA,NA
"Catriona Matheson","University of Stirling","Making community pharmacies psychologically informed environments: a pilot study to improve delivery of care for people with a drug problem","Research project","2023","Matheson, C., Hunter, C., Schofield, J., Parkes, T., Munro, A., O’Sullivan, K., and Hunter, J. (2023). Making community pharmacies psychologically informed environments: a pilot study to improve delivery of care for people with a drug problem. Int J of Pharmacy Practice, 30, IS1, pi8.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10050951/"
"Jennifer McKell","University of Stirling","Bereavement following a fatal overdose: The experiences of adults in England and Scotland","Article","2017","Templeton, L., Valentine, C., McKell, J., Ford, A., Velleman, R., Walter, T., et al. (2017). Bereavement following a fatal overdose: the experiences of adults in England and Scotland. Drugs: Education, Prevention and Policy, 24(1), 58-66.","https://www.tandfonline.com/doi/full/10.3109/09687637.2015.1127328"
"Jennifer McKell","University of Stirling","Service failures and challenges in responding to people bereaved through drugs and alcohol: An interprofessional analysis","Article","2017","Valentine, C., McKell, J., & Ford, A. (2017). Service failures and challenges in responding to people bereaved through drugs and alcohol: An interprofessional analysis. Journal of Interprofessional Care, 32(3), pp. 295-303.","https://www.tandfonline.com/doi/full/10.1080/13561820.2017.1415312"
